姩涓撳尯,#genre#
CCTV1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8
CCTV2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
CCTV4,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV5,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5+,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8
CCTV6,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV7,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV8,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV9,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV10,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV11,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226240/index.m3u8
CCTV12,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226190/index.m3u8
CCTV13,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV14,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV15,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV16,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV17,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226198/index.m3u8
CETV1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225753/index.m3u8
CETV2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225756/index.m3u8
CETV3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226226/index.m3u8
CETV4,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226225/index.m3u8
娴欐睙鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226199/index.m3u8
鍥涘窛鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225768/index.m3u8
閲嶅簡鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226202/index.m3u8
瀹夊窘鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226203/index.m3u8
澶╂触鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226204/index.m3u8
灞辫タ鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225763/index.m3u8
灞变笢鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226209/index.m3u8
灞变笢鏁欒偛,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226238/index.m3u8
涓滃崡鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225766/index.m3u8
娴峰崡鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225769/index.m3u8
鍘﹂棬鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226219/index.m3u8
娌冲崡鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225767/index.m3u8
婀栧寳鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226194/index.m3u8
娌冲寳鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225750/index.m3u8
婀栧崡鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226211/index.m3u8
閲戦拱鍗￠€�,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225744/index.m3u8
涓滄柟鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226217/index.m3u8
鍝堝搱鐐姩,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226213/index.m3u8
杈藉畞鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226201/index.m3u8
榛戦緳姹熷崼瑙�,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226215/index.m3u8
鍚夋灄鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225792/index.m3u8
骞胯タ鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225770/index.m3u8
姹熻タ鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225764/index.m3u8
姹熻嫃鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226200/index.m3u8
浼樻极鍗￠€�,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225795/index.m3u8
娣卞湷鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226205/index.m3u8
骞夸笢鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226216/index.m3u8
澶ф咕鍖哄崼瑙�,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8
鍖椾含鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226222/index.m3u8
鍖椾含鍗￠叿,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225743/index.m3u8
鍐ゥ绾疄,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226232/index.m3u8
